CNF File Name: cnf/4.cnf
Random number seed value: 1444580632.0
Number of runs: 30
Number of fitness evaluations per run: 10000
Population size: 500
Lambda: 250
Strategy: plus
Self-Adaptivity: True
Restarts: False
R-Elitism: 20
Parent Selection: Random
Survival Selection: Random
K value for survival: 300
K value for parents: 300
N convergence number: 0

Results log

Run: 0
4750	931	964
5000	930	966
5250	931	963
5500	931	957
5750	932	964
6000	931	964
6250	931	959
6500	932	962
6750	932	964
7000	932	960
7250	931	962
7500	930	964
7750	931	965
8000	932	967
8250	932	972
8500	931	960
8750	931	963
9000	931	961
9250	931	958
9500	931	965
9750	932	966
10000	931	959


Run: 10
500	931	962
750	930	962
1000	931	967
1250	932	962
1500	932	961
1750	931	969
2000	932	962
2250	932	964
2500	931	964
2750	931	963
3000	932	969
3250	932	957
3500	931	962
3750	932	967
4000	932	967
4250	932	966
4500	931	962
4750	931	963
5000	931	963
5250	931	964
5500	932	966
5750	931	960
6000	931	966
6250	931	966
6500	932	960
6750	931	960
7000	932	969
7250	931	961
7500	932	963
7750	931	962
8000	930	963
8250	931	961
8500	932	967
8750	931	965
9000	932	965
9250	932	961
9500	932	970
9750	931	971
10000	931	962


Run: 11
500	932	960
750	932	960
1000	931	961
1250	931	963
1500	931	965
1750	932	958
2000	932	969
2250	932	963
2500	931	965
2750	932	961
3000	932	960
3250	931	966
3500	931	964
3750	931	967
4000	932	965
4250	931	959
4500	931	963
4750	932	963
5000	932	961
5250	931	960
5500	933	961
5750	931	962
6000	931	968
6250	932	960
6500	931	962
6750	931	964
7000	932	970
7250	933	963
7500	931	963
7750	931	959
8000	932	967
8250	931	959
8500	933	972
8750	932	963
9000	931	964
9250	931	961
9500	931	958
9750	932	961
10000	931	965


Run: 12
500	932	966
750	931	966
1000	931	963
1250	932	968
1500	932	957
1750	930	963
2000	931	964
2250	931	964
2500	931	961
2750	932	964
3000	930	960
3250	932	963
3500	931	962
3750	931	961
4000	932	964
4250	931	964
4500	933	963
4750	932	964
5000	931	959
5250	931	963
5500	932	965
5750	931	964
6000	932	963
6250	932	962
6500	930	960
6750	932	963
7000	931	964
7250	931	959
7500	931	961
7750	930	965
8000	932	963
8250	931	966
8500	932	964
8750	932	964
9000	931	961
9250	931	966
9500	931	959
9750	931	962
10000	932	960


Run: 13
500	932	967
750	931	967
1000	932	961
1250	931	966
1500	931	960
1750	931	964
2000	932	965
2250	932	972
2500	932	970
2750	932	963
3000	931	958
3250	931	968
3500	930	968
3750	931	962
4000	932	960
4250	931	959
4500	931	965
4750	933	961
5000	931	971
5250	931	965
5500	930	958
5750	931	959
6000	932	966
6250	933	966
6500	931	962
6750	933	962
7000	931	958
7250	931	963
7500	932	959
7750	931	974
8000	931	967
8250	931	962
8500	931	962
8750	931	967
9000	931	972
9250	931	961
9500	932	960
9750	931	964
10000	931	958


Run: 14
500	931	961
750	931	961
1000	931	963
1250	932	965
1500	930	965
1750	932	967
2000	932	961
2250	931	978
2500	932	962
2750	932	962
3000	931	962
3250	932	960
