CNF File Name: cnf/4.cnf
Random number seed value: 1444581729.0
Number of runs: 30
Number of fitness evaluations per run: 10000
Population size: 500
Lambda: 250
Strategy: plus
Self-Adaptivity: True
Restarts: False
R-Elitism: 20
Parent Selection: Random
Survival Selection: Random
K value for survival: 300
K value for parents: 300
N convergence number: 0

Results log

Run: 0
500	931	962
750	930	962
1000	931	960
1250	931	957
1500	932	957
1750	931	962
2000	930	961
2250	931	960
2500	933	964
2750	932	964
3000	931	964
3250	931	961
3500	932	962
3750	932	963
4000	932	964
4250	932	964
4500	932	961
4750	932	963
5000	931	962
5250	931	962
5500	931	962
5750	931	958
6000	930	962
6250	931	969
6500	931	966
6750	932	969
7000	930	964
7250	932	957
7500	932	961
7750	931	958
8000	931	965
8250	931	958
8500	932	971
8750	931	963
9000	932	961
9250	930	963
9500	931	962
9750	931	960
10000	932	964


Run: 1
500	931	965
750	931	963
1000	931	963
1250	933	962
1500	931	961
1750	932	959
2000	932	959
2250	932	967
2500	931	964
2750	930	963
3000	931	966
3250	932	960
3500	931	959
3750	932	969
4000	932	966
4250	931	967
4500	931	963
4750	932	958
5000	931	964
5250	931	963
5500	930	960
5750	930	962
6000	932	961
6250	931	964
6500	932	962
6750	931	959
7000	931	956
7250	932	960
7500	932	960
7750	932	963
8000	932	965
8250	932	962
8500	932	964
8750	933	964
9000	932	967
9250	932	970
9500	932	967
9750	933	968
10000	932	963


Run: 2
500	931	961
750	931	961
1000	931	967
1250	931	960
1500	931	963
1750	932	964
2000	930	965
2250	931	970
2500	932	961
2750	932	958
3000	931	960
3250	931	968
3500	932	961
3750	931	974
4000	932	960
4250	933	964
4500	931	962
4750	931	966
5000	931	968
5250	931	956
5500	931	959
5750	931	967
6000	931	962
6250	932	968
6500	932	961
6750	932	962
7000	932	963
7250	932	969
7500	932	969
7750	932	962
8000	933	963
8250	933	964
8500	931	970
8750	931	966
9000	931	961
9250	931	960
9500	931	957
9750	931	960
10000	931	962


Run: 3
500	931	957
750	931	957
1000	931	965
1250	932	966
1500	932	970
1750	931	962
2000	931	968
2250	931	959
2500	932	961
2750	932	962
3000	931	959
3250	932	963
3500	931	961
3750	930	959
4000	932	972
4250	931	963
4500	932	962
4750	931	961
5000	931	965
5250	931	963
5500	931	963
5750	931	969
6000	931	959
6250	931	957
6500	932	957
6750	932	961
7000	931	964
7250	931	964
7500	931	962
7750	932	964
8000	931	963
8250	931	963
8500	932	959
8750	931	964
9000	931	961
9250	931	964
9500	932	963
9750	932	967
10000	932	961


Run: 4
500	930	972
750	931	972
1000	931	964
1250	931	963
1500	932	963
1750	931	966
2000	932	961
2250	931	963
2500	932	960
2750	932	965
3000	931	961
3250	931	964
3500	932	966
3750	930	962
4000	931	958
4250	932	964
4500	931	961
4750	931	957
5000	931	960
5250	932	960
5500	932	964
5750	931	963
6000	931	959
6250	932	967
6500	931	960
6750	931	964
7000	931	956
7250	931	960
7500	931	963
7750	931	966
8000	931	962
8250	931	964
8500	931	960
8750	931	960
9000	931	961
9250	932	964
9500	932	969
9750	932	962
10000	932	963


Run: 5
500	931	970
750	931	964
1000	931	966
1250	932	964
1500	931	957
1750	931	965
2000	931	963
2250	931	961
2500	931	967
2750	930	958
3000	932	965
3250	931	967
3500	931	965
3750	930	966
4000	932	961
4250	933	962
4500	931	964
4750	931	969
5000	932	966
5250	932	962
5500	931	965
5750	932	964
6000	932	966
6250	930	958
6500	931	966
6750	932	963
7000	931	959
7250	932	967
7500	932	968
7750	931	970
8000	932	959
8250	931	964
8500	931	966
8750	931	966
9000	931	970
9250	930	963
9500	931	981
9750	932	968
10000	932	967


Run: 6
500	931	961
750	931	963
1000	931	964
1250	931	963
1500	931	960
1750	931	958
2000	932	965
2250	931	963
2500	932	963
2750	932	962
3000	931	960
3250	931	955
3500	930	959
3750	931	965
4000	932	964
4250	931	962
4500	931	967
4750	931	962
5000	932	965
5250	932	964
5500	932	971
5750	931	965
6000	931	962
6250	931	962
6500	931	964
6750	932	964
7000	931	963
7250	931	960
7500	932	964
7750	932	964
8000	932	964
8250	932	958
8500	931	970
8750	931	962
9000	932	964
9250	931	963
9500	931	961
9750	932	959
10000	931	961


Run: 7
500	931	969
750	932	969
1000	932	963
1250	931	962
1500	931	963
1750	931	967
2000	932	961
2250	930	961
2500	931	960
2750	930	960
3000	931	959
3250	932	964
3500	932	962
3750	930	969
4000	932	959
4250	931	967
4500	931	960
4750	932	960
5000	931	956
5250	932	965
5500	931	966
5750	933	962
6000	931	964
6250	931	969
6500	931	957
6750	932	966
7000	931	961
7250	931	960
7500	931	967
7750	931	958
8000	931	961
8250	932	964
8500	930	957
8750	932	959
9000	932	964
9250	932	961
9500	931	958
9750	932	959
10000	932	960


Run: 8
500	932	961
750	932	961
1000	932	971
1250	931	958
1500	931	958
1750	931	967
2000	931	964
2250	931	965
2500	931	966
2750	932	964
3000	932	967
3250	932	960
3500	931	963
3750	931	961
4000	931	961
4250	933	969
4500	932	964
4750	931	967
5000	931	960
5250	932	971
5500	931	959
5750	931	961
6000	930	964
6250	932	964
6500	931	964
6750	931	965
7000	931	967
7250	931	956
7500	932	966
7750	931	960
8000	931	966
8250	931	962
8500	932	961
8750	931	965
9000	932	963
9250	931	964
9500	931	957
9750	931	968
10000	932	976


Run: 9
500	930	963
750	930	963
1000	931	956
1250	932	960
1500	931	962
1750	931	962
2000	933	966
2250	932	970
2500	931	968
2750	932	969
3000	932	963
3250	931	959
3500	932	959
3750	930	962
4000	931	968
4250	931	964
4500	932	968
4750	932	962
5000	932	965
5250	931	966
5500	931	961
5750	931	966
6000	932	964
6250	933	959
6500	932	963
6750	931	972
7000	931	961
7250	932	963
7500	931	959
7750	932	964
8000	931	964
8250	931	964
8500	931	965
8750	932	967
9000	932	963
9250	931	969
9500	930	959
9750	932	967
10000	932	960


Run: 10
500	931	962
750	931	962
1000	931	971
1250	931	962
1500	930	964
1750	932	961
2000	933	964
2250	931	961
2500	932	965
2750	931	965
3000	931	965
3250	932	964
3500	931	962
3750	931	969
4000	931	962
4250	932	962
4500	932	959
4750	931	961
5000	932	963
5250	931	960
5500	932	957
5750	932	964
6000	931	962
6250	931	960
6500	932	966
6750	932	963
7000	931	967
7250	931	965
7500	932	965
7750	931	958
8000	932	962
8250	931	960
8500	931	961
8750	930	956
9000	931	962
9250	931	967
9500	931	959
9750	932	967
10000	931	959


Run: 11
500	932	962
750	931	962
1000	932	959
1250	931	959
1500	932	970
1750	931	961
2000	932	968
2250	931	964
2500	931	961
2750	931	963
3000	931	960
3250	931	966
3500	931	963
3750	931	963
4000	932	962
4250	931	962
4500	932	968
4750	932	962
5000	932	968
5250	931	968
5500	932	958
5750	931	964
6000	931	963
6250	931	964
6500	931	967
6750	932	960
7000	932	964
7250	932	964
7500	930	969
7750	930	960
8000	932	963
8250	932	967
8500	931	960
8750	932	971
9000	933	961
9250	932	961
9500	932	959
9750	931	964
10000	931	964


Run: 12
500	932	964
750	932	964
1000	932	966
1250	931	962
1500	932	960
1750	933	967
2000	932	963
2250	932	961
2500	931	959
2750	931	962
3000	931	971
3250	931	962
3500	932	962
3750	931	962
4000	931	965
4250	931	960
4500	931	963
4750	932	963
5000	931	960
5250	932	964
5500	931	961
5750	932	965
6000	932	962
6250	931	964
6500	932	961
6750	930	963
7000	931	969
7250	931	965
7500	932	963
7750	931	964
8000	931	961
8250	931	962
8500	931	968
8750	931	962
9000	931	960
9250	932	963
9500	930	961
9750	932	963
10000	931	963


Run: 13
500	932	965
750	932	965
1000	931	964
1250	931	958
1500	931	968
1750	932	967
2000	931	964
2250	932	960
2500	932	962
2750	932	969
3000	931	959
3250	930	960
3500	931	962
3750	931	962
4000	932	966
4250	931	962
4500	930	961
4750	932	964
5000	932	967
5250	931	963
5500	931	968
5750	931	965
6000	932	965
6250	931	962
6500	932	964
6750	932	975
7000	932	965
7250	931	968
7500	931	968
7750	931	964
8000	931	962
8250	932	966
8500	932	964
8750	932	961
9000	932	964
9250	932	965
9500	932	969
9750	933	969
10000	930	957


Run: 14
500	931	962
750	932	961
1000	931	967
1250	932	967
1500	931	968
1750	932	962
2000	931	964
2250	932	965
2500	932	966
2750	932	967
3000	933	963
3250	932	964
3500	932	962
3750	931	965
4000	932	964
4250	931	966
4500	931	964
4750	931	962
5000	932	960
5250	932	966
5500	932	967
5750	931	964
6000	931	962
6250	931	962
6500	932	967
6750	932	967
7000	931	965
7250	931	969
7500	930	964
7750	932	970
8000	932	963
8250	932	961
8500	931	958
