CNF filename: cnfs/2.cnf
Random number seed value: 1441155026578
Number of runs: 30
Number of fitness evaluations per run: 10000

Result Log

Run 1
1	39
2	44
3	49
9	55
14	58
18	64
121	65
1144	66
4160	67
8875	68

Run 2
1	47
4	58
17	60
90	62
181	63
542	65
948	67

Run 3
1	55
3	59
8	61
124	62
317	63
526	65
901	67

Run 4
1	10
2	57
28	61
47	64
1151	66
1618	67

Run 5
1	60
21	62
115	63
118	66
549	67
8481	68
9674	69

Run 6
1	31
2	34
3	53
7	58
16	60
41	62
79	63
433	66
578	67
2711	68

Run 7
1	11
2	28
3	45
4	57
20	60
48	61
64	63
229	66
952	67
8314	70

Run 8
1	48
3	56
10	60
30	64
36	65
192	67
3315	69

Run 9
1	24
2	41
3	59
17	60
36	64
49	65
705	66
5066	67
8961	68

Run 10
1	54
5	58
12	60
27	63
189	65
310	66
2896	67

Run 11
1	46
3	54
11	64
238	65
1578	66
5367	67

Run 12
1	46
3	57
13	58
24	60
53	62
109	64
263	66
4620	67

Run 13
1	57
19	62
46	66
130	67

Run 14
1	32
3	38
5	60
19	61
102	62
213	65
217	66
1843	67
3667	68

Run 15
1	47
3	55
5	56
7	57
25	58
53	64
270	65
1683	66
2139	68

Run 16
1	60
13	64
119	65
810	67
6517	69

Run 17
1	42
2	53
6	59
13	61
114	63
192	65
963	67
1709	69

Run 18
1	62
42	63
48	65
504	66
920	67
8549	68

Run 19
1	47
3	56
4	61
25	63
192	64
530	65
870	68

Run 20
1	50
8	55
10	64
124	65
262	67
3639	68
4275	70

Run 21
1	37
2	53
8	58
21	59
56	65
627	66
2078	67
2957	68

Run 22
1	50
4	57
17	67
171	68

Run 23
1	58
14	59
20	60
39	63
79	67
203	68

Run 24
1	42
2	56
6	60
29	62
248	65
1230	67

Run 25
1	51
3	54
5	58
13	60
23	63
111	68

Run 26
1	18
2	36
3	50
4	55
7	60
12	61
45	63
125	65
193	66
8710	70

Run 27
1	30
3	39
8	51
9	57
11	60
47	64
154	68
4942	70

Run 28
1	54
2	56
10	57
15	62
17	65
162	66
244	67
4594	68

Run 29
1	57
13	61
34	63
85	66
1951	68
6770	69

Run 30
1	58
9	59
43	61
67	63
201	66
2864	68
3859	69

